iter	Passed	Remaining
651	12860	16726
652	12870	16694
653	12883	16666
654	12888	16627
655	12896	16592
656	12910	16565
657	12919	16531
658	12930	16501
659	12972	16509
660	12976	16470
661	12988	16441
662	13022	16439
663	13024	16398
664	13027	16358
665	13060	16355
666	13077	16332
667	13080	16292
668	13102	16275
669	13110	16241
670	13113	16201
671	13126	16173
672	13129	16133
673	13142	16106
674	13159	16084
675	13163	16045
676	13166	16005
677	13200	16003
678	13203	15964
679	13206	15925
680	13234	15916
681	13238	15877
682	13241	15839
683	13244	15800
684	13250	15764
685	13253	15726
686	13256	15687
687	13310	15709
688	13314	15672
689	13330	15648
690	13345	15624
691	13348	15586
692	13366	15564
693	13378	15537
694	13381	15498
695	13384	15461
696	13408	15447
697	13438	15440
698	13444	15406
699	13507	15436
700	13525	15416
701	13528	15379
702	13532	15341
703	13534	15303
704	13537	15266
705	13542	15230
706	13545	15193
707	13547	15155
708	13550	15117
709	13553	15080
710	13555	15042
711	13560	15007
712	13565	14973
713	13578	14947
714	13589	14919
715	13600	14891
716	13609	14862
717	13621	14835
718	13626	14801
719	13629	14765
720	13634	14731
721	13656	14715
722	13660	14680
723	13694	14678
724	13697	14642
725	13700	14606
726	13703	14570
727	13733	14563
728	13744	14536
729	13747	14501
730	13751	14466
731	13786	14464
732	13800	14440
733	13803	14405
734	13818	14382
735	13821	14347
736	13836	14324
737	13839	14289
738	13863	14275
739	13883	14258
740	13886	14224
741	13929	14230
742	13948	14211
743	13952	14177
744	13957	14144
745	13966	14116
746	13977	14089
747	13979	14054
748	13992	14030
749	13996	13996
750	14012	13975
751	14015	13941
752	14041	13929
753	14046	13897
754	14050	13864
755	14061	13838
756	14068	13808
757	14087	13789
758	14112	13777
759	14132	13760
760	14170	13761
761	14175	13729
762	14178	13695
763	14184	13664
764	14205	13648
765	14208	13614
766	14214	13584
767	14216	13550
768	14237	13533
769	14247	13507
770	14269	13492
771	14274	13460
772	14277	13428
773	14295	13408
774	14298	13376
775	14301	13343
776	14306	13312
777	14312	13282
778	14318	13252
779	14324	13222
780	14329	13192
781	14346	13172
782	14355	13145
783	14362	13116
784	14369	13088
785	14378	13060
786	14380	13028
787	14396	13007
788	14398	12975
789	14414	12954
790	14417	12922
791	14434	12903
792	14438	12872
793	14454	12852
794	14457	12820
795	14479	12806
796	14484	12776
797	14498	12754
798	14508	12728
799	14514	12700
800	14532	12681
801	14536	12651
802	14551	12631
803	14556	12600
804	14559	12570
805	14562	12539
806	14566	12508
807	14606	12509
808	14610	12479
809	14613	12448
810	14621	12421
811	14626	12393
812	14629	12362
813	14642	12340
814	14645	12309
815	14650	12280
816	14654	12250
817	14661	12223
818	14674	12201
819	14677	12171
820	14682	12142
821	14686	12113
822	14688	12082
823	14704	12063
824	14707	12033
825	14712	12004
826	14715	11975
827	14730	11955
828	14732	11924
829	14750	11907
830	14753	11877
831	14757	11848
832	14770	11827
833	14774	11798
834	14787	11776
835	14790	11747
836	14793	11717
837	14807	11697
838	14810	11668
839	14813	11639
840	14816	11609
841	14838	11595
842	14850	11573
843	14852	11544
844	14854	11514
845	14861	11488
846	14868	11462
847	14871	11434
848	14883	11412
849	14892	11388
850	14903	11365
851	14921	11348
852	14923	11319
853	14935	11298
854	14938	11269
855	14951	11248
856	14954	11220
857	14959	11193
858	14982	11180
859	14998	11161
860	15001	11133
861	15018	11116
862	15021	11088
863	15038	11069
864	15040	11041
865	15057	11023
866	15061	10996
867	15078	10978
868	15082	10951
869	15100	10934
870	15103	10907
871	15107	10880
872	15127	10865
873	15130	10837
874	15135	10810
875	15141	10785
876	15152	10764
877	15156	10737
878	15183	10726
879	15187	10700
880	15204	10682
881	15207	10655
882	15211	10629
883	15229	10612
884	15232	10585
885	15235	10557
886	15250	10539
887	15262	10518
888	15265	10491
889	15281	10473
890	15284	10446
891	15291	10422
892	15293	10395
893	15316	10382
894	15328	10361
895	15332	10335
896	15336	10309
897	15359	10296
898	15364	10271
899	15366	10244
900	15391	10232
901	15394	10206
902	15398	10180
903	15407	10158
904	15423	10140
905	15426	10113
906	15431	10088
907	15453	10075
908	15456	10049
909	15459	10023
910	15493	10016
911	15495	9990
912	15508	9970
913	15510	9944
914	15522	9924
915	15525	9898
916	15531	9874
917	15544	9855
918	15547	9829
919	15553	9805
920	15564	9784
921	15566	9758
922	15573	9735
923	15577	9710
924	15579	9684
925	15583	9659
926	15585	9633
927	15588	9608
928	15591	9583
929	15593	9557
930	15597	9532
931	15599	9506
932	15603	9482
933	15608	9458
934	15611	9433
935	15614	9408
936	15625	9388
937	15635	9368
938	15641	9344
